"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","LV","LV/A","W","D6",100,150,10,10.00,44,21.00,23,14.00,33,14.00,"M",1.54,0.22,13,4.00,17,8.00,16.00,10.00,84,17.00,16.00,10.00,56.00,27.00,3,2.00,0,0.00,6.70,0.80,0.00,0.00,1.00,0.00,1.50,1.60,0.38,0.20,9.00,3.00,2.84,1.76
"N","LV","LV/A","W","D7",150,200,10,12.00,43,22.00,28,15.00,29,15.00,"M",1.57,0.23,17,6.00,17,10.00,18.00,12.00,89,13.00,17.00,12.00,55.00,24.00,3,2.00,0,0.00,6.50,0.90,0.00,0.00,11.00,10.00,1.90,1.80,0.34,0.22,9.00,3.00,2.29,1.79
"N","LV","LV/B","W","D1",0,20,15,12.00,64,21.00,18,15.00,18,11.00,"M",1.49,0.15,12,3.00,12,7.00,15.00,9.00,92,11.00,16.00,9.00,58.00,22.00,2,1.00,0,0.00,6.90,0.80,64.00,83.00,1.00,0.00,1.00,0.80,0.71,0.43,10.00,3.00,6.03,3.81
"N","LV","LV/B","W","D2",20,40,17,16.00,59,22.00,17,14.00,24,15.00,"M",1.52,0.16,11,3.00,15,8.00,20.00,13.00,93,10.00,20.00,13.00,57.00,19.00,2,1.00,0,0.00,7.10,0.80,83.00,102.00,1.00,1.00,1.00,1.10,0.56,0.29,8.00,2.00,4.00,2.33
"N","LV","LV/B","W","D3",40,60,21,19.00,59,22.00,16,14.00,25,15.00,"M",1.57,0.15,11,3.00,15,8.00,22.00,14.00,94,9.00,23.00,15.00,56.00,19.00,3,2.00,0,0.00,7.20,0.90,81.00,104.00,5.00,5.00,0.90,0.80,0.49,0.23,8.00,2.00,3.17,1.78
"N","LV","LV/B","W","D4",60,80,21,18.00,59,22.00,16,14.00,25,14.00,"M",1.58,0.17,11,3.00,15,8.00,24.00,16.00,97,6.00,25.00,17.00,57.00,20.00,3,2.00,0,0.00,7.40,0.90,79.00,91.00,9.00,9.00,0.90,0.90,0.46,0.20,7.00,2.00,2.65,1.49
"N","LV","LV/B","W","D5",80,100,22,19.00,59,22.00,17,15.00,24,13.00,"M",1.58,0.16,13,4.00,14,7.00,26.00,17.00,98,4.00,26.00,17.00,58.00,21.00,4,3.00,0,0.00,7.60,0.90,104.00,111.00,8.00,12.00,0.50,0.50,0.42,0.20,7.00,3.00,2.17,1.17
"N","LV","LV/B","W","D6",100,150,20,18.00,61,22.00,17,15.00,22,13.00,"M",1.61,0.14,13,4.00,14,7.00,27.00,17.00,99,2.00,27.00,17.00,60.00,22.00,4,4.00,0,0.00,7.70,0.80,64.00,70.00,10.00,10.00,1.10,1.20,0.40,0.21,6.00,3.00,1.80,1.09
"N","LV","LV/B","W","D7",150,200,18,16.00,58,24.00,20,16.00,22,13.00,"M",1.61,0.13,14,4.00,13,7.00,31.00,17.00,98,4.00,32.00,17.00,62.00,23.00,7,7.00,0,0.00,8.00,0.60,84.00,89.00,14.00,11.00,1.40,1.30,0.34,0.16,6.00,1.00,1.53,1.05
"N","LV","LV/C","W","D1",0,20,10,10.00,39,24.00,42,21.00,19,12.00,"M",1.50,0.17,15,5.00,14,7.00,10.00,6.00,76,20.00,11.00,6.00,45.00,17.00,1,1.00,0,0.00,6.00,0.80,0.00,0.00,1.00,0.00,0.40,0.30,1.34,0.77,12.00,4.00,15.25,9.31
"N","LV","LV/C","W","D2",20,40,10,10.00,34,23.00,39,20.00,27,15.00,"M",1.60,0.14,14,4.00,15,7.00,11.00,7.00,75,21.00,12.00,7.00,48.00,16.00,2,1.00,0,0.00,6.10,0.80,0.00,0.00,1.00,1.00,0.50,0.40,0.72,0.37,9.00,3.00,6.61,3.99
"N","LV","LV/C","W","D3",40,60,11,12.00,31,22.00,37,19.00,32,15.00,"M",1.64,0.14,15,4.00,17,8.00,14.00,9.00,76,21.00,15.00,9.00,49.00,16.00,2,1.00,0,0.00,6.10,0.90,0.00,0.00,1.00,1.00,0.70,0.70,0.57,0.28,8.00,3.00,4.20,2.33
"N","LV","LV/C","W","D4",60,80,14,16.00,32,22.00,36,19.00,32,15.00,"M",1.66,0.15,15,4.00,17,8.00,15.00,10.00,78,21.00,16.00,10.00,52.00,18.00,2,2.00,0,0.00,6.20,1.00,0.00,0.00,3.00,5.00,1.10,1.10,0.51,0.25,7.00,2.00,3.11,1.75
"N","LV","LV/C","W","D5",80,100,15,17.00,33,23.00,36,20.00,31,15.00,"M",1.67,0.15,15,5.00,17,7.00,15.00,10.00,78,21.00,16.00,10.00,54.00,20.00,2,2.00,0,0.00,6.20,1.10,0.00,0.00,17.00,18.00,1.80,2.10,0.46,0.22,6.00,2.00,2.33,1.33
"N","LV","LV/C","W","D6",100,150,15,16.00,36,24.00,36,20.00,28,15.00,"M",1.68,0.15,16,5.00,16,7.00,16.00,11.00,80,21.00,17.00,11.00,59.00,24.00,3,3.00,0,0.00,6.30,1.10,0.00,0.00,27.00,48.00,2.00,2.20,0.40,0.19,6.00,2.00,1.55,0.86
"N","LV","LV/C","W","D7",150,200,14,16.00,38,26.00,36,21.00,26,16.00,"M",1.68,0.16,16,5.00,15,8.00,17.00,13.00,83,19.00,18.00,13.00,60.00,23.00,4,4.00,0,0.00,6.30,1.10,0.00,0.00,11.00,10.00,2.40,2.10,0.36,0.22,6.00,1.00,1.08,0.63
