"NEWSUID","NoSoilComp","DomFAO_Name","DomFAO_Prop","PropSynthProf","SoilMapUnit","SOIL1","PROP1","PRID1","SOIL2","PROP2","PRID2","SOIL3","PROP3","PRID3","SOIL4","PROP4","PRID4","SOIL5","PROP5","PRID5","SOIL6","PROP6","PRID6","SOIL7","PROP7","PRID7","SOIL8","PROP8","PRID8","SOIL9","PROP9","PRID9","SOIL10","PROP10","PRID10","WATE"
"WD20031061",3,"LP",74,0,"LPe3LVf4LPq4/B","LPe",54,"LPe/B","LVf",26,"LVf/B","LPq",20,"LPq/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031062",2,"LX",81,0,"LXh1CMe5/B","LXh",81,"LXh/B","CMe",19,"CMe/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031064",2,"RG",62,0,"RGe2CLp4/B","RGe",62,"RGe/B","CLp",38,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031065",1,"AR",100,0,"ARa1/B","ARa",100,"ARa/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031070",5,"RG",58,0,"RGe3LXh5LVh5PTa5SNh5/B","RGe",58,"RGe/B","LXh",19,"LXh/B","LVh",12,"LVh/B","PTa",6,"PTa/B","SNh",5,"SNh/B",,,,,,,,,,,,,,,,
"WD20031072",2,"LV",95,0,"LVf1CMe5/B","LVf",95,"LVf/B","CMe",5,"CMe/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031073",1,"CM",100,0,"CMx1/B","CMx",100,"CMx/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031074",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031075",4,"AR",55,0,"ARg4HSf4ARa5RGe5/B","ARg",36,"ARg/B","HSf",34,"HSf/B","ARa",19,"ARa/B","RGe",11,"RGe/B",,,,,,,,,,,,,,,,,,,
"WD20031076",2,"LX",51,0,"LXh3LPq3/B","LXh",51,"LXh/B","LPq",49,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031078",5,"AR",60,0,"ARh4ARo4VRk5SNh5LPq5/B","ARh",36,"ARh/B","ARo",24,"ARo/B","VRk",15,"VRk/B","SNh",13,"SNh/B","LPq",12,"LPq/B",,,,,,,,,,,,,,,,
"WD20031079",4,"KS",65,0,"KSh2VRk5LPm5CMe5/B","KSh",65,"KSh/B","VRk",16,"VRk/B","LPm",13,"LPm/B","CMe",6,"CMe/B",,,,,,,,,,,,,,,,,,,
"WD20031080",2,"RG",62,0,"RGe2CLp4/B","RGe",62,"RGe/B","CLp",38,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031081",1,"AR",100,0,"ARl1/B","ARl",100,"ARl/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031082",3,"CM",86,0,"CMe1RGe5LVk5/B","CMe",86,"CMe/B","RGe",8,"RGe/B","LVk",6,"LVk/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031086",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031089",3,"LV",85,0,"LVk1LPe5VRk5/B","LVk",85,"LVk/B","LPe",10,"LPe/B","VRk",5,"VRk/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031093",5,"AR",60,0,"ARh4ARo4VRk5SNh5LPq5/B","ARh",36,"ARh/B","ARo",24,"ARo/B","VRk",15,"VRk/B","SNh",13,"SNh/B","LPq",12,"LPq/B",,,,,,,,,,,,,,,,
"WD20031094",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031095",5,"LX",45,0,"LXf3ARh4PTa5PLe5LPq5/B","LXf",45,"LXf/B","ARh",24,"ARh/B","PTa",13,"PTa/B","PLe",12,"PLe/B","LPq",6,"LPq/B",,,,,,,,,,,,,,,,
"WD20031101",2,"CM",80,0,"CMx1CLp4/B","CMx",80,"CMx/B","CLp",20,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031106",1,"SC",100,0,"SCk1/B","SCk",100,"SCk/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031109",6,"SN",31,0,"SNh4VRk4LPe5RGe5LVk5LPq5/B","SNh",31,"SNh/B","VRk",28,"VRk/B","LPe",19,"LPe/B","RGe",10,"RGe/B","LVk",7,"LVk/B","LPq",5,"LPq/B",,,,,,,,,,,,,
"WD20031110",1,"WR",100,0,"WR1/B","WR",100,"WR/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031118",2,"LV",80,0,"LVx1LPq4/B","LVx",80,"LVx/B","LPq",20,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031119",2,"LX",70,0,"LXg2LVg4/B","LXg",70,"LXg/B","LVg",30,"LVg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031140",2,"SN",80,0,"SNg1ARh4/B","SNg",80,"SNg/B","ARh",20,"ARh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031141",2,"AR",60,0,"ARh2SNg3/B","ARh",60,"ARh/B","SNg",40,"SNg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031142",2,"AR",80,0,"ARh1SNg4/B","ARh",80,"ARh/B","SNg",20,"SNg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031143",2,"SN",60,0,"SNg2ARh3/B","SNg",60,"SNg/B","ARh",40,"ARh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031144",2,"AR",75,0,"ARg2SNg4/B","ARg",75,"ARg/B","SNg",25,"SNg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031145",2,"AR",90,0,"ARh1SNg5/B","ARh",90,"ARh/B","SNg",10,"SNg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031147",2,"VR",90,0,"VRe1SNg5/B","VRe",90,"VRe/B","SNg",10,"SNg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031148",2,"VR",70,0,"VRe2ARh4/B","VRe",70,"VRe/B","ARh",30,"ARh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031158",4,"LX",40,0,"LXh3LVx4ARh4LPq5/B","LXh",40,"LXh/B","LVx",30,"LVx/B","ARh",20,"ARh/B","LPq",10,"LPq/B",,,,,,,,,,,,,,,,,,,
"WD20031159",1,"PH",100,0,"PHl1/B","PHl",100,"PHl/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031160",2,"LP",70,0,"LPe2LVx4/B","LPe",70,"LPe/B","LVx",30,"LVx/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031162",2,"LP",60,0,"LPe2VRk3/B","LPe",60,"LPe/B","VRk",40,"VRk/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031168",1,"LV",100,0,"LVf1/B","LVf",100,"LVf/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031169",1,"LP",100,0,"LPe1/B","LPe",100,"LPe/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031171",1,"LP",100,0,"LPd1/B","LPd",100,"LPd/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031198",3,"LV",75,0,"LVx2LPq5NTh5/B","LVx",75,"LVx/B","LPq",15,"LPq/B","NTh",10,"NTh/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031201",1,"AR",100,0,"ARh1/B","ARh",100,"ARh/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031203",2,"RG",60,0,"RGe2LPq3/B","RGe",60,"RGe/B","LPq",40,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031204",1,"CM",100,0,"CMv1/B","CMv",100,"CMv/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031206",2,"VR",80,0,"VRe1CMv4/B","VRe",80,"VRe/B","CMv",20,"CMv/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031208",2,"CM",60,0,"CMe2SNg3/B","CMe",60,"CMe/B","SNg",40,"SNg/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031209",2,"AR",80,0,"ARh1SCn4/B","ARh",80,"ARh/B","SCn",20,"SCn/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031215",3,"LV",55,0,"LVf3ACh4VRe5/B","LVf",55,"LVf/B","ACh",30,"ACh/B","VRe",15,"VRe/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031226",2,"AR",100,0,"ARo1ARh5/B","ARo",85,"ARo/B","ARh",15,"ARh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031227",2,"LV",80,0,"LVx1SNh4/B","LVx",80,"LVx/B","SNh",20,"SNh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031228",3,"LP",60,0,"LPe2SCn4LXh5/B","LPe",60,"LPe/B","SCn",25,"SCn/B","LXh",15,"LXh/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031229",3,"FL",50,0,"FLe3FRr4CLl4/B","FLe",50,"FLe/B","FRr",25,"FRr/B","CLl",25,"CLl/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031230",2,"VR",60,0,"VRe2LPm3/B","VRe",60,"VRe/B","LPm",40,"LPm/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031231",1,"VR",100,0,"VRe1/B","VRe",100,"VRe/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031232",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031233",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031234",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031235",3,"SC",35,0,"SCn4LXh4LPq4/B","SCn",35,"SCn/B","LXh",35,"LXh/B","LPq",30,"LPq/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031236",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031237",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031238",1,"LP",100,0,"LPe1/B","LPe",100,"LPe/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031239",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031240",1,"LP",100,0,"LPq1/B","LPq",100,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031241",1,"LV",100,0,"LVx1/B","LVx",100,"LVx/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031242",2,"LV",85,0,"LVx1PHl5/B","LVx",85,"LVx/B","PHl",15,"PHl/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031243",1,"LP",100,0,"LPe1/B","LPe",100,"LPe/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031244",2,"SN",85,0,"SNk1LVx5/B","SNk",85,"SNk/B","LVx",15,"LVx/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031245",1,"LV",100,0,"LVx1/B","LVx",100,"LVx/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031248",2,"LP",70,0,"LPm2ALh4/B","LPm",70,"LPm/B","ALh",30,"ALh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031251",3,"LX",50,0,"LXh3LVx4LPe4/B","LXh",50,"LXh/B","LVx",30,"LVx/B","LPe",20,"LPe/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031252",2,"AR",60,0,"ARl2LPq3/B","ARl",60,"ARl/B","LPq",40,"LPq/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031623",1,"AR",100,0,"ARh1/B","ARh",100,"ARh/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031625",2,"CM",100,0,"CMd2CMo3/B","CMd",60,"CMd/B","CMo",40,"CMo/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031626",2,"CM",50,0,"RGe3CMe3/B","RGe",50,"RGe/B","CMe",50,"CMe/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031627",2,"RG",50,0,"RGd3LPd3/B","RGd",50,"RGd/B","LPd",50,"LPd/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031628",1,"AC",100,0,"ACf1/B","ACf",100,"ACf/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031634",1,"LP",100,0,"LPd1/B","LPd",100,"LPd/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031635",3,"SC",45,0,"SCg3GLk4ARg4/B","SCg",45,"SCg/B","GLk",30,"GLk/B","ARg",25,"ARg/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031636",2,"LP",70,0,"LPd2RGd4/B","LPd",70,"LPd/B","RGd",30,"RGd/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031645",2,"SN",70,0,"SNg2GLe4/B","SNg",70,"SNg/B","GLe",30,"GLe/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031646",3,"GL",40,0,"GLe3SCg4FLe4/B","GLe",40,"GLe/B","SCg",30,"SCg/B","FLe",30,"FLe/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031647",3,"RG",70,0,"RGe2CMg5ACf5/B","RGe",70,"RGe/B","CMg",15,"CMg/B","ACf",15,"ACf/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031648",1,"VR",100,0,"VRe1/B","VRe",100,"VRe/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031649",2,"SN",50,0,"SNh3GLe3/B","SNh",50,"SNh/B","GLe",50,"GLe/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031650",3,"RG",50,0,"RGe3GLe4CMg4/B","RGe",50,"RGe/B","GLe",25,"GLe/B","CMg",25,"CMg/B",,,,,,,,,,,,,,,,,,,,,,
