pixel_vaue	description	cover_%	cell_count	square_km
12067	WD10012067	0.00	1674	1414
12068	WD10012068	0.00	2074	1750
12069	WD10012069	0.00	5854	4937
12070	WD10012070	0.00	1250	1065
12071	WD10012071	0.00	4618	3892
12072	WD10012072	0.00	1493	1259
12073	WD10012073	0.00	1308	1105
12074	WD10012074	0.00	1138	963
12075	WD10012075	0.00	12790	10804
12076	WD10012076	0.00	1093	924
12077	WD10012077	0.00	816	690
12078	WD10012078	0.00	3226	2719
12079	WD10012079	0.00	808	682
12080	WD10012080	0.00	756	637
12081	WD10012081	0.00	1676	1428
12082	WD30012082	0.00	2281	1913
12083	WD30012083	0.00	4964	4176
12084	WD10012084	0.00	4056	3416
12085	WD10012085	0.00	3871	3263
12086	WD10012086	0.00	4488	3792
12087	WD10012087	0.00	1947	1643
12088	WD10012088	0.00	9116	7695
12089	WD30012089	0.00	4450	3747
12090	WD10012090	0.00	473	400
12091	WD30012091	0.00	2638	2218
12092	WD10012092	0.00	413	352
12093	WD30012093	0.00	1216	1022
12094	WD10012094	0.00	1445	1222
12095	WD10012095	0.00	14435	12199
12096	WD10012096	0.00	1809	1531
12097	WD10012097	0.00	7320	6202
12098	WD10012098	0.01	39134	33184
12099	WD10012099	0.00	1711	1453
12100	WD10012100	0.00	11477	9750
12101	WD10012101	0.00	1258	1069
12102	WD10012102	0.01	43047	36371
12103	WD10012103	0.00	1286	1096
12104	WD30012104	0.00	868	731
12105	WD10012105	0.01	35098	29713
12106	WD10012106	0.00	16276	13764
12107	WD10012107	0.00	3661	3095
12108	WD10012108	0.00	651	552
12109	WD30012109	0.01	63723	53584
12110	WD30012110	0.00	1608	1353
12111	WD30012111	0.00	2957	2481
12112	WD30012112	0.01	31746	26560
12113	WD30012113	0.00	13730	11438
12114	WD20012114	0.00	1096	918
12115	WD20012115	0.00	3111	2642
12116	WD10012116	0.00	12549	10347
12117	WD20012117	0.01	45822	37500
12118	WD30012118	0.00	6820	5616
12119	WD20012119	0.00	3235	2650
12120	WD30012120	0.00	13947	11515
12121	WD20012121	0.00	1780	1454
12122	WD20012122	0.00	1759	1440
12123	WD20012123	0.00	4386	3574
12124	WD20012124	0.00	2288	1874
12125	WD30012125	0.02	105439	87826
12126	WD10012126	0.00	815	692
12127	WD30012127	0.01	61439	51147
12128	WD30012128	0.00	14171	11698
12129	WD30012129	0.00	13963	11516
12130	WD30012130	0.00	12890	10743
12131	WD30012131	0.00	17094	14211
12132	WD30012132	0.00	2804	2346
12133	WD30012133	0.00	2366	1985
12134	WD30012134	0.00	14783	12373
12135	WD30012135	0.00	20475	16798
12136	WD20012136	0.00	9121	7437
12137	WD10012137	0.00	825	701
12138	WD20012138	0.00	13842	11314
12139	WD30012139	0.00	3571	2931
12140	WD30012140	0.00	5302	4363
12141	WD30012141	0.00	26501	21895
12142	WD30012142	0.00	12116	9926
